unknown,bl,gl,bg,gb,mix_so,no_cp,other_so
0,0,0,0,0,0,0,0
0,9,0,2,0,0,0,1
0,1,0,0,0,1,0,0
0,4,1,1,1,1,0,0
0,1,0,0,0,0,0,0
0,14,0,0,10,2,0,0
0,1,0,0,0,0,0,0
0,12,2,0,0,0,1,0
0,0,0,0,0,0,1,0
0,4,0,0,0,0,0,0
0,3,0,0,0,0,0,0
0,1,0,0,0,0,0,0
0,1,0,0,0,0,0,0
0,41,6,0,0,7,1,0
0,1,0,0,0,0,0,0
0,1,0,0,0,0,0,0
0,100,3,10,4,5,3,4
0,2,0,0,0,0,1,0
0,0,0,0,0,1,0,0
0,7,0,1,0,2,2,0
0,1,0,0,0,0,0,0
0,3,0,0,0,0,0,0
0,1,0,0,0,0,0,0
0,15,0,0,2,0,0,0
0,1,0,0,0,0,0,0
0,2,0,0,0,0,0,0
0,21,0,0,0,0,0,0
0,134,2,0,2,5,4,0
0,2,0,0,1,0,0,0
0,30,0,0,0,0,0,0
0,8,0,0,0,0,0,0
0,1,0,0,0,1,0,0
0,12,0,2,1,0,0,0
0,14,0,0,2,0,0,0
0,5,0,0,0,0,0,0
0,5,0,0,0,0,0,0
0,1,0,0,0,0,0,0
0,1,0,0,0,0,0,0
0,42,0,0,0,1,0,0
0,3,0,0,0,0,1,0
0,2,0,0,0,0,0,0
0,1,0,0,0,0,0,0
0,2,0,0,0,0,0,0
0,2,0,0,0,0,0,0
0,11,0,1,0,0,0,0
0,3,0,0,0,0,0,0
0,33,0,0,0,1,0,1
0,0,0,0,0,0,1,0
0,1,0,0,0,0,0,0
0,2,0,0,1,0,0,0
0,4,0,0,0,0,0,0
0,4,0,0,0,1,0,0
0,1,0,0,0,0,0,0
0,3,0,0,0,0,0,0
0,1,0,0,0,0,0,0
0,1,0,0,0,0,0,0
0,6,0,0,0,0,0,0
0,11,0,0,0,0,0,0
0,11,0,0,0,0,0,0
0,8,1,0,0,0,0,0
0,1,0,0,0,0,0,0
0,1,0,0,0,0,0,0
0,0,0,1,0,1,0,0
0,2,0,1,1,0,0,0
0,2,0,0,0,0,0,0
0,0,0,0,1,0,0,0
0,1,0,0,0,0,0,0
0,5,0,0,0,0,0,0
0,53,0,1,5,7,2,1
0,4,0,0,0,0,0,0
0,2,0,0,0,0,0,0
0,3,0,0,0,0,0,0
0,2,0,0,0,0,0,0
0,27,1,0,0,1,0,0
0,7,0,0,0,1,0,0
0,3,0,0,0,0,0,0
0,1,0,0,0,0,0,0
0,12,0,1,0,0,0,0
0,4,0,0,0,0,0,0
0,95,3,1,1,2,1,1
0,6,0,0,0,1,0,0
0,14,0,0,0,0,0,0
0,1,0,0,0,0,0,0
0,3,0,0,0,0,0,0
0,1,0,0,0,0,0,0
0,11,1,0,1,1,1,1
0,2,0,0,0,0,0,0
